titles,authors,images,urls,name,search
"Paisagem com jiboia, circa 1660",Frans Post,https://assets.masp.org.br/uploads/collection/lUN6gXqeqMB8OKtYLXEdEQGFG6yV1qOf.jpg,https://masp.org.br/acervo/obra/paisagem-com-jiboia,paisagem-com-jiboia,paisagem-com-jiboia site:https://masp.org.br/acervo/
"Paisagem em Pernambuco com casa-grande, 1665",Frans Post,https://assets.masp.org.br/uploads/collection/2cEIdlATDQ8T5Zg6Egs0WHewl8qPNHyN.jpg,https://masp.org.br/acervo/obra/paisagem-em-pernambuco-com-casa-grande,paisagem-em-pernambuco-com-casa-grande,paisagem-em-pernambuco-com-casa-grande site:https://masp.org.br/acervo/
"Paisagem pernambucana com rio, 1668",Frans Post,https://assets.masp.org.br/uploads/collection/npsGBnjtgzBoozpiNrs7Xd4kvoYUVVLM.jpg,https://masp.org.br/acervo/obra/paisagem-pernambucana-com-rio,paisagem-pernambucana-com-rio,paisagem-pernambucana-com-rio site:https://masp.org.br/acervo/
"A rainha Tômiris, 1710-20",Giovanni Pellegrini,https://assets.masp.org.br/uploads/collection/x2KoDfWsHPHxhWYFbEyvw55wrSp23UkE.jpg,https://masp.org.br/acervo/obra/a-rainha-tomiris,a-rainha-tomiris,a-rainha-tomiris site:https://masp.org.br/acervo/
"A toalete de Vênus, 1710-20",Michele Rocca,https://assets.masp.org.br/uploads/collection/68v5JwkrK87LlHaILymFdrzfB9Vim27J.jpg,https://masp.org.br/acervo/obra/a-toalete-de-venus,a-toalete-de-venus,a-toalete-de-venus site:https://masp.org.br/acervo/
"O julgamento de Páris, 1710-20",Michele Rocca,https://assets.masp.org.br/uploads/collection/iBHjle0Gx76tIlfgseRm9OHm3g4zHU33.jpg,https://masp.org.br/acervo/obra/o-julgamento-de-paris,o-julgamento-de-paris,o-julgamento-de-paris site:https://masp.org.br/acervo/
"Retrato de noiva com flores (Charlotte Aglaé d'Orléans, chamada mademoiselle de Valois?), circa 1720",Pierre Gobert,https://assets.masp.org.br/uploads/collection/uhmLOiIXMjdICKGRL5rGHLxFspI8xpZk.jpg,https://masp.org.br/acervo/obra/retrato-de-noiva-com-flores-charlotte-aglae-dorleans-chamada-mademoiselle-de-valois,retrato-de-noiva-com-flores-charlotte-aglae-dorleans-chamada-mademoiselle-de-valois,retrato-de-noiva-com-flores-charlotte-aglae-dorleans-chamada-mademoiselle-de-valois site:https://masp.org.br/acervo/
"Piquenique durante a caçada, 1723",François Lemoyne,https://assets.masp.org.br/uploads/collection/50h81DTdjUqorW7DRr2O24mXScpTf2lk.jpg,https://masp.org.br/acervo/obra/piquenique-durante-a-cacada,piquenique-durante-a-cacada,piquenique-durante-a-cacada site:https://masp.org.br/acervo/
,,,https://masp.org.br/acervo/obra/retrato-de-auguste-gabriel-godefroy,retrato-de-auguste-gabriel-godefroy,retrato-de-auguste-gabriel-godefroy site:https://masp.org.br/acervo/
"Louise-Henriette de Bourbon-Conti, condessa-duquesa de Orléans, como Hebe, 1745-50",Desconhecido (cópia de Jean-Marc Nattier),https://assets.masp.org.br/uploads/collection/Tdlw2O1YU8xIUHvPanUZ7tfeKkcSFzQr.jpg,https://masp.org.br/acervo/obra/louise-henriette-de-bourbon-conti-condessa-duquesa-de-orleans-como-hebe,louise-henriette-de-bourbon-conti-condessa-duquesa-de-orleans-como-hebe,louise-henriette-de-bourbon-conti-condessa-duquesa-de-orleans-como-hebe site:https://masp.org.br/acervo/
,,,https://masp.org.br/acervo/obra/drinkstone-park-o-bosque-de-cornard,drinkstone-park-o-bosque-de-cornard,drinkstone-park-o-bosque-de-cornard site:https://masp.org.br/acervo/
,,,https://masp.org.br/acervo/obra/john-walter-ou-wharton-tempest,john-walter-ou-wharton-tempest,john-walter-ou-wharton-tempest site:https://masp.org.br/acervo/
"A educação faz tudo, 1775-80",Jean-Honoré Fragonard,https://assets.masp.org.br/uploads/collection/NI7yCAgsqWzBrnNuRE5DQL1jFjnagGSR.jpg,https://masp.org.br/acervo/obra/a-educacao-faz-tudo,a-educacao-faz-tudo,a-educacao-faz-tudo site:https://masp.org.br/acervo/
"A continência de Cipião, circa 1750",Francesco Zugno,https://assets.masp.org.br/uploads/collection/feWnYt1ZTZPSga1qdnfuvtDF4qWEZ9PW.jpg,https://masp.org.br/acervo/obra/a-continencia-de-cipiao,a-continencia-de-cipiao,a-continencia-de-cipiao site:https://masp.org.br/acervo/
"Reunião num parque, 1719-20",Jean-Baptiste Pater,https://assets.masp.org.br/uploads/collection/lENYI70sFlZxyeUJ7mxuYqgl4ef4K4o8.jpg,https://masp.org.br/acervo/obra/reuniao-num-parque,reuniao-num-parque,reuniao-num-parque site:https://masp.org.br/acervo/
"Madame Louise-Elisabeth, duquesa de Parma (madame l´enfante) – A terra, 1750",Jean-Marc Nattier,https://assets.masp.org.br/uploads/collection/cjUVxPEvO87YKt9MnAheHsku9f3zYJSS.jpg,https://masp.org.br/acervo/obra/madame-louise-elisabeth-duquesa-de-parma-madame-lenfante-a-terra,madame-louise-elisabeth-duquesa-de-parma-madame-lenfante-a-terra,madame-louise-elisabeth-duquesa-de-parma-madame-lenfante-a-terra site:https://masp.org.br/acervo/
"O poeta abandona o vício pela virtude. Hércules na encruzilhada, 1750",François Boucher,https://assets.masp.org.br/uploads/collection/8i8ZPifMrZ0cfz5mbKjfwmuNXzDov4SA.jpg,https://masp.org.br/acervo/obra/o-poeta-abandona-o-vicio-pela-virtude-hercules-na-encruzilhada,o-poeta-abandona-o-vicio-pela-virtude-hercules-na-encruzilhada,o-poeta-abandona-o-vicio-pela-virtude-hercules-na-encruzilhada site:https://masp.org.br/acervo/
"Madame Anne-Henriette de France – O fogo, 1751",Jean-Marc Nattier,https://assets.masp.org.br/uploads/collection/ZgRLJXzT83OGKKYhb8Ms0a3mMUzB9s20.jpg,https://masp.org.br/acervo/obra/madame-anne-henriette-de-france-o-fogo,madame-anne-henriette-de-france-o-fogo,madame-anne-henriette-de-france-o-fogo site:https://masp.org.br/acervo/
"Madame Marie-Adélaïde de France – O ar, 1751",Jean-Marc Nattier,https://assets.masp.org.br/uploads/collection/s2QzGH0rgdlYd4PDUJZbd4dAR6cP5zsJ.jpg,https://masp.org.br/acervo/obra/madame-marie-adelaide-de-france-o-ar,madame-marie-adelaide-de-france-o-ar,madame-marie-adelaide-de-france-o-ar site:https://masp.org.br/acervo/
